facility_id,organisation_name,facility_name,province,city,address,postal_code,npri_id,2011_ghg_emissions_kilotonnes_of_carbon_dioxide_equivalent,facility_ghg_data_link,naics_name,naics_data_link,latitude,longitude
78,Vale Canada Limited,Copper Cliff Smelter,Ontario,Copper Cliff,18 Rink Street,P0M1N0,444,261.41,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10078,Non-Ferrous Metal (except Aluminum) Smelting and Refining,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331410,46.47860000,-81.05530000
91,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Ontario,Hamilton,1330 Burlington Street East,L8N3J5,3713,5261.88,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10091,Iron and Steel Mills and Ferro-Alloy Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110,43.25970000,-79.81110000
93,Domtar Inc.,Espanola Mill,Ontario,Espanola,1 Station Road,P5E1R6,3185,124.80,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10093,Paper (except Newsprint) Mills,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322121,46.26810000,-81.76830000
109,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,Ontario,North York,500 Consumers Road,M2J1P8,,243.31,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10109,Natural Gas Distribution,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221210,0.00000000,0.00000000
114,Federal White Cement Ltd.,Woodstock Plant,Ontario,Woodstock,3551551 35th Line,N0J1J0,5946,312.73,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10114,Cement Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310,43.09890000,-80.89430000
116,AbibowCanada Inc.,Fort Frances Division,Ontario,Fort Frances,427 Mowat Avenue,P9A1Y8,917,124.84,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10116,Paper (except Newsprint) Mills,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322121,48.61110000,-93.40340000
128,Gerdau Ameristeel Corporation,Gerdau Whitby,Ontario,Whitby,1801 Hopkins Street South,L1N5T1,3824,85.48,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10128,Iron and Steel Mills and Ferro-Alloy Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110,43.85780000,-78.90970000
133,Columbian Chemicals Canada Ltd.,Hamilton,Ontario,Hamilton,755 Parkdale Avenue North,L8H7N5,2660,238.05,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10133,All Other Basic Inorganic Chemical Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325189,43.25880000,-79.78430000
149,INVISTA (Canada) Company,Maitland Site,Ontario,Maitland,1400 County #2 Road East,K0E1P0,1207,236.77,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10149,Other Basic Organic Chemical Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325190,44.66060000,-75.60170000
151,Northland Power Inc.,Iroquois Falls Generating Station,Ontario,Iroquois Falls,1 Northwest Industrial Road,P0K1G0,4904,382.26,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10151,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,48.76960000,-80.66690000
